"","movies","genres"
"2574","Birdcage, The (1996)","Comedy"
"2629","Brothers McMullen, The (1995)","Comedy"
"2637","Bad Boys (1995)","Action|Comedy|Crime|Drama|Thriller"
"2667","Amazing Panda Adventure, The (1995)","Adventure|Children"
"2669","Basketball Diaries, The (1995)","Drama"
"2682","Amateur (1994)","Crime|Drama|Thriller"
"2685","Apollo 13 (1995)","Adventure|Drama|IMAX"
"2806","Rob Roy (1995)","Action|Drama|Romance|War"
"2842","Addiction, The (1995)","Drama|Horror"
"2843","Batman Forever (1995)","Action|Adventure|Comedy|Crime"
"2930","Beauty of the Day (Belle de jour) (1967)","Drama"
"2937","Beyond Rangoon (1995)","Adventure|Drama|War"
"2944","Blue in the Face (1995)","Comedy|Drama"
"2949","Canadian Bacon (1995)","Comedy|War"
"2961","Casper (1995)","Adventure|Children"
"2995","Clockers (1995)","Crime|Drama|Mystery"
"3001","Congo (1995)","Action|Adventure|Mystery|Sci-Fi"
"3041","Crimson Tide (1995)","Drama|Thriller|War"
"3105","Crumb (1994)","Documentary"
"3121","Desperado (1995)","Action|Romance|Western"
"3166","Devil in a Blue Dress (1995)","Crime|Film-Noir|Mystery|Thriller"
"3177","Die Hard: With a Vengeance (1995)","Action|Crime|Thriller"
"3265","Doom Generation, The (1995)","Comedy|Crime|Drama"
"3266","First Knight (1995)","Action|Drama|Romance"
"3306","Free Willy 2: The Adventure Home (1995)","Adventure|Children|Drama"
"3312","Hackers (1995)","Action|Adventure|Crime|Thriller"
"3333","Jeffrey (1995)","Comedy|Drama"
"3337","Johnny Mnemonic (1995)","Action|Sci-Fi|Thriller"
"3376","Judge Dredd (1995)","Action|Crime|Sci-Fi"
"3422","Jury Duty (1995)","Comedy"
"3430","Kids (1995)","Drama"
"3445","Living in Oblivion (1995)","Comedy"
"3448","Lord of Illusions (1995)","Horror"
"3455","Love & Human Remains (1993)","Comedy|Drama"
"3456","Mad Love (1995)","Drama|Romance"
"3464","Mallrats (1995)","Comedy|Romance"
"3482","Mighty Morphin Power Rangers: The Movie (1995)","Action|Children"
"3489","Moonlight and Valentino (1995)","Drama|Romance"
"3490","Mute Witness (1994)","Comedy|Horror|Thriller"
"3492","Nadja (1994)","Drama"
"3493","Net, The (1995)","Action|Crime|Thriller"
"3559","Nine Months (1995)","Comedy|Romance"
"3597","Party Girl (1995)","Comedy"
"3602","Prophecy, The (1995)","Fantasy|Horror|Mystery"
"3613","Reckless (1995)","Comedy|Fantasy"
"3615","Safe (1995)","Thriller"
"3618","Scarlet Letter, The (1995)","Drama|Romance"
"3625","Showgirls (1995)","Drama"
"3644","Smoke (1995)","Comedy|Drama"
"3661","Something to Talk About (1995)","Comedy|Drama|Romance"
"3673","Species (1995)","Horror|Sci-Fi"
"3711","Strange Days (1995)","Action|Crime|Drama|Mystery|Sci-Fi|Thriller"
"3735","Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","Drama|Musical|Romance"
"3741","Tie That Binds, The (1995)","Thriller"
"3742","Three Wishes (1995)","Drama|Fantasy"
"3746","To Wong Foo, Thanks for Everything! Julie Newmar (1995)","Comedy"
"3761","Under Siege 2: Dark Territory (1995)","Action"
"3787","Unstrung Heroes (1995)","Comedy|Drama"
"3792","Unzipped (1995)","Documentary"
"3797","Walk in the Clouds, A (1995)","Drama|Romance"
"3813","Waterworld (1995)","Action|Adventure|Sci-Fi"
"3881","White Man's Burden (1995)","Drama"
"3886","Wild Bill (1995)","Western"
"3888","Browning Version, The (1994)","Drama"
"3891","Bushwhacked (1995)","Adventure|Comedy|Crime|Mystery"
"3896","Burnt by the Sun (Utomlyonnye solntsem) (1994)","Drama"
"3905","Before the Rain (Pred dozhdot) (1994)","Drama|War"
"3909","Before Sunrise (1995)","Drama|Romance"
"3921","Billy Madison (1995)","Comedy"
"3940","Babysitter, The (1995)","Drama|Thriller"
"3942","Boys on the Side (1995)","Comedy|Drama"
"3954","Cure, The (1995)","Drama"
"3956","Circle of Friends (1995)","Drama|Romance"
"3969","Clerks (1994)","Comedy"
"4032","Don Juan DeMarco (1995)","Comedy|Drama|Romance"
"4053","Disclosure (1994)","Drama|Thriller"
"4085","Drop Zone (1994)","Action|Thriller"
"4098","Destiny Turns on the Radio (1995)","Comedy"
"4099","Death and the Maiden (1994)","Drama|Thriller"
"4106","Dolores Claiborne (1995)","Drama|Thriller"
"4126","Dumb & Dumber (Dumb and Dumber) (1994)","Adventure|Comedy"
"4212","Eat Drink Man Woman (Yin shi nan nu) (1994)","Comedy|Drama|Romance"
"4237","Exotica (1994)","Drama"
"4248","Exit to Eden (1994)","Comedy"
"4256","Ed Wood (1994)","Comedy|Drama"
"4295","French Kiss (1995)","Action|Comedy|Romance"
"4323","Forget Paris (1995)","Comedy|Romance"
"4342","Far From Home: The Adventures of Yellow Dog (1995)","Adventure|Children"
"4344","Goofy Movie, A (1995)","Animation|Children|Comedy|Romance"
"4350","Hideaway (1995)","Thriller"
"4353","Fluke (1995)","Children|Drama"
"4356","Farinelli: il castrato (1994)","Drama|Musical"
"4360","Gordy (1995)","Children|Comedy|Fantasy"
"4361","Glass Shield, The (1994)","Crime|Drama"
"4364","Hoop Dreams (1994)","Documentary"
"4392","Heavenly Creatures (1994)","Crime|Drama"
"4408","Houseguest (1994)","Comedy"
"4421","Immortal Beloved (1994)","Drama|Romance"
"4431","Heavyweights (Heavy Weights) (1995)","Children|Comedy"
"4436","Hunted, The (1995)","Action"
"4440","I.Q. (1994)","Comedy|Romance"
"4470","Interview with the Vampire: The Vampire Chronicles (1994)","Drama|Horror"
"4547","Jefferson in Paris (1995)","Drama"
"4549","Jerky Boys, The (1995)","Comedy"
"4552","Junior (1994)","Comedy|Sci-Fi"
"4580","Just Cause (1995)","Mystery|Thriller"
"4595","Kid in King Arthur's Court, A (1995)","Adventure|Children|Comedy|Fantasy|Romance"
"4603","Kiss of Death (1995)","Crime|Drama|Thriller"
"4607","Star Wars: Episode IV - A New Hope (1977)","Action|Adventure|Sci-Fi"
"4736","Little Women (1994)","Drama"
"4764","Little Princess, A (1995)","Children|Drama"
"4780","Ladybird Ladybird (1994)","Drama"
"4781","Like Water for Chocolate (Como agua para chocolate) (1992)","Drama|Fantasy|Romance"
"4815","Legends of the Fall (1994)","Drama|Romance|War|Western"
"4856","Major Payne (1995)","Comedy"
"4870","Little Odessa (1994)","Crime|Drama"
"4873","My Crazy Life (Mi vida loca) (1993)","Drama"
"4877","Love Affair (1994)","Drama|Romance"
"4881","Losing Isaiah (1995)","Drama"
"4888","Madness of King George, The (1994)","Comedy|Drama"
"4913","Mary Shelley's Frankenstein (Frankenstein) (1994)","Drama|Horror|Sci-Fi"
"4929","Man of the House (1995)","Comedy"
"4939","Mixed Nuts (1994)","Comedy"
"4944","Milk Money (1994)","Comedy|Romance"
"4960","Miracle on 34th Street (1994)","Drama"
"4983","Miami Rhapsody (1995)","Comedy"
"4986","My Family (1995)","Drama"
"4987","Murder in the First (1995)","Drama|Thriller"
"5001","Nobody's Fool (1994)","Comedy|Drama|Romance"
"5009","Nell (1994)","Drama"
"5042","Nemesis 2: Nebula (1995)","Action|Sci-Fi|Thriller"
"5043","Nina Takes a Lover (1994)","Comedy|Romance"
"5046","Natural Born Killers (1994)","Action|Crime|Thriller"
"5108","Only You (1994)","Comedy|Romance"
"5122","Once Were Warriors (1994)","Crime|Drama"
"5131","Poison Ivy II (1996)","Drama|Thriller"
"5134","Outbreak (1995)","Action|Drama|Sci-Fi|Thriller"
"5205","Léon: The Professional (a.k.a. The Professional) (Léon) (1994)","Action|Crime|Drama|Thriller"
"5265","Perez Family, The (1995)","Comedy|Romance"
"5268","Pyromaniac's Love Story, A (1995)","Comedy|Romance"
"5272","Pulp Fiction (1994)","Comedy|Crime|Drama|Thriller"
"5459","Panther (1995)","Drama"
"5460","Priest (1994)","Drama"
"5466","Quiz Show (1994)","Drama"
"5517","Picture Bride (Bijo photo) (1994)","Drama|Romance"
"5518","Queen Margot (Reine Margot, La) (1994)","Drama|Romance"
"5520","Quick and the Dead, The (1995)","Action|Thriller|Western"
"5543","Roommates (1995)","Comedy|Drama"
"5545","Ready to Wear (Pret-A-Porter) (1994)","Comedy"
"5551","Three Colors: Red (Trois couleurs: Rouge) (1994)","Drama"
"5568","Three Colors: Blue (Trois couleurs: Bleu) (1993)","Drama"
"5587","Three Colors: White (Trzy kolory: Bialy) (1994)","Comedy|Drama"
"5601","Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)","Drama"
"5604","Stuart Saves His Family (1995)","Comedy"
"5613","Swan Princess, The (1994)","Animation|Children"
"5615","Secret of Roan Inish, The (1994)","Children|Drama|Fantasy|Mystery"
"5629","Specialist, The (1994)","Action|Drama|Thriller"
"5671","Stargate (1994)","Action|Adventure|Sci-Fi"
"5758","Santa Clause, The (1994)","Comedy|Drama|Fantasy"
"5801","Shawshank Redemption, The (1994)","Crime|Drama"
"5958","Shallow Grave (1994)","Comedy|Drama|Thriller"
"5979","Suture (1993)","Film-Noir|Thriller"
"5980","Strawberry and Chocolate (Fresa y chocolate) (1993)","Drama"
"5983","Swimming with Sharks (1995)","Comedy|Drama"
"5994","Sum of Us, The (1994)","Comedy|Drama"
"5996","National Lampoon's Senior Trip (1995)","Comedy"
"6004","To Live (Huozhe) (1994)","Drama"
"6014","Tank Girl (1995)","Action|Comedy|Sci-Fi"
"6030","Tales from the Crypt Presents: Demon Knight (1995)","Horror|Thriller"
"6035","Star Trek: Generations (1994)","Adventure|Drama|Sci-Fi"
"6108","Tales from the Hood (1995)","Action|Crime|Horror"
"6111","Tom & Viv (1994)","Drama"
"6112","Village of the Damned (1995)","Horror|Sci-Fi"
"6117","Tommy Boy (1995)","Comedy"
"6148","Vanya on 42nd Street (1994)","Drama"
"6153","Walking Dead, The (1995)","Drama|War"
"6155","What's Eating Gilbert Grape (1993)","Drama"
"6202","Virtuosity (1995)","Action|Sci-Fi|Thriller"
"6218","While You Were Sleeping (1995)","Comedy|Romance"
"6286","War, The (1994)","Adventure|Drama|War"
"6293","Muriel's Wedding (1994)","Comedy"
"6326","Baby-Sitters Club, The (1995)","Children"
"6329","Ace Ventura: Pet Detective (1994)","Comedy"
"6438","Adventures of Priscilla, Queen of the Desert, The (1994)","Comedy|Drama"
"6463","Backbeat (1993)","Drama|Musical"
"6466","Bitter Moon (1992)","Drama|Film-Noir|Romance"
"6468","Bullets Over Broadway (1994)","Comedy"
"6488","Clear and Present Danger (1994)","Action|Crime|Drama|Thriller"
"6562","Client, The (1994)","Drama|Mystery|Thriller"
"6606","Corrina, Corrina (1994)","Comedy|Drama|Romance"
"6614","Crooklyn (1994)","Comedy|Drama"
"6619","Crow, The (1994)","Action|Crime|Fantasy|Thriller"
"6662","Cobb (1994)","Drama"
"6665","Flintstones, The (1994)","Children|Comedy|Fantasy"
"6703","Forrest Gump (1994)","Comedy|Drama|Romance|War"
"6885","Four Weddings and a Funeral (1994)","Comedy|Romance"
"6952","Higher Learning (1995)","Drama"
"6956","I Like It Like That (1994)","Comedy|Drama|Romance"
"6957","I Love Trouble (1994)","Action|Comedy"
"6964","It Could Happen to You (1994)","Comedy|Drama|Romance"
"6975","Jungle Book, The (1994)","Adventure|Children|Romance"
"6998","Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)","Documentary"
"7000","Lion King, The (1994)","Adventure|Animation|Children|Drama|Musical|IMAX"
"7099","Little Buddha (1993)","Drama"
"7103","Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)","Drama|Horror|Mystery|Thriller"
"7108","Mask, The (1994)","Action|Comedy|Crime|Fantasy"
"7201","Maverick (1994)","Adventure|Comedy|Western"
"7250","Mrs. Parker and the Vicious Circle (1994)","Drama"
"7253","Naked Gun 33 1/3: The Final Insult (1994)","Action|Comedy"
"7296","Paper, The (1994)","Comedy|Drama"
"7311","Reality Bites (1994)","Comedy|Drama|Romance"
"7331","Red Rock West (1992)","Thriller"
"7337","Richie Rich (1994)","Children|Comedy"
"7346","River Wild, The (1994)","Action|Thriller"
"7379","Speed (1994)","Action|Romance|Thriller"
"7488","Speechless (1994)","Comedy|Romance"
"7496","Timecop (1994)","Action|Sci-Fi|Thriller"
"7506","True Lies (1994)","Action|Adventure|Comedy|Romance|Thriller"
"7629","When a Man Loves a Woman (1994)","Drama|Romance"
"7640","Wolf (1994)","Drama|Horror|Romance|Thriller"
"7656","Wyatt Earp (1994)","Western"
"7672","Bad Company (1995)","Action|Crime|Drama"
"7679","Man of No Importance, A (1994)","Drama"
"7681","S.F.W. (1994)","Drama"
"7682","Low Down Dirty Shame, A (1994)","Action|Comedy"
"7686","Boys Life (1995)","Drama"
"7688","Colonel Chabert, Le (1994)","Drama|Romance|War"
"7690","Faster Pussycat! Kill! Kill! (1965)","Action|Crime|Drama"
"7691","Jason's Lyric (1994)","Crime|Drama"
"7693","Secret Adventures of Tom Thumb, The (1993)","Adventure|Animation"
"7695","Street Fighter (1994)","Action|Adventure|Fantasy"
"7697","Coldblooded (1995)","Comedy"
"7699","Fall Time (1995)","Drama"
"7700","Fear, The (1995)","Horror"
"7702","Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994)","Action|Fantasy"
"7712","In the Mouth of Madness (1995)","Horror|Thriller"
"7715","8 Seconds (1994)","Drama"
"7719","Above the Rim (1994)","Crime|Drama"
"7721","Addams Family Values (1993)","Children|Comedy|Fantasy"
"7772","Martin Lawrence: You So Crazy (1994)","Comedy|Documentary"
"7773","Age of Innocence, The (1993)","Drama"
"7783","Airheads (1994)","Comedy"
"7798","Air Up There, The (1994)","Comedy"
"7802","Another Stakeout (1993)","Comedy|Thriller"
"7817","Bad Girls (1994)","Western"
"7827","Barcelona (1994)","Comedy|Romance"
"7842","Being Human (1993)","Drama"
"7846","Beverly Hillbillies, The (1993)","Comedy"
"7863","Beverly Hills Cop III (1994)","Action|Comedy|Crime|Thriller"
"7907","Black Beauty (1994)","Adventure|Children|Drama"
"7911","Blink (1994)","Thriller"
"7916","Blown Away (1994)","Action|Thriller"
"7923","Blue Chips (1994)","Drama"
"7925","Blue Sky (1994)","Drama|Romance"
"7928","Body Snatchers (1993)","Horror|Sci-Fi|Thriller"
"7942","Boxing Helena (1993)","Drama|Mystery|Romance|Thriller"
"7954","Bronx Tale, A (1993)","Drama"
"7972","Cabin Boy (1994)","Comedy"
"7976","Carlito's Way (1993)","Crime|Drama"
"7999","City Slickers II: The Legend of Curly's Gold (1994)","Adventure|Comedy|Western"
"8034","Clean Slate (1994)","Comedy"
"8039","Cliffhanger (1993)","Action|Adventure|Thriller"
"8105","Coneheads (1993)","Comedy|Sci-Fi"
"8143","Color of Night (1994)","Drama|Thriller"
"8145","Cops and Robbersons (1994)","Comedy"
"8154","Cowboy Way, The (1994)","Action|Comedy|Drama"
"8159","Dave (1993)","Comedy|Romance"
"8215","Dazed and Confused (1993)","Comedy"
"8235","Demolition Man (1993)","Action|Adventure|Sci-Fi"
"8281","Endless Summer 2, The (1994)","Adventure|Documentary"
"8284","Even Cowgirls Get the Blues (1993)","Comedy|Romance"
"8286","Fatal Instinct (1993)","Comedy"
"8292","Farewell My Concubine (Ba wang bie ji) (1993)","Drama|Romance"
"8300","Favor, The (1994)","Comedy|Romance"
"8301","Fearless (1993)","Drama"
"8311","Fear of a Black Hat (1994)","Comedy"
"8315","With Honors (1994)","Comedy|Drama"
"8323","Flesh and Bone (1993)","Drama|Mystery|Romance"
"8324","Widows' Peak (1994)","Drama"
"8327","For Love or Money (1993)","Comedy|Romance"
"8330","Firm, The (1993)","Drama|Thriller"
"8391","Free Willy (1993)","Adventure|Children|Drama"
"8412","Fresh (1994)","Crime|Drama|Thriller"
"8415","Fugitive, The (1993)","Thriller"
"8535","Geronimo: An American Legend (1993)","Drama|Western"
"8540","Getaway, The (1994)","Action|Adventure|Crime|Drama|Romance|Thriller"
"8546","Getting Even with Dad (1994)","Comedy"
"8547","Go Fish (1994)","Drama|Romance"
"8550","Guilty as Sin (1993)","Crime|Drama|Thriller"
"8552","Hard Target (1993)","Action|Adventure|Crime|Thriller"
"8562","Heaven & Earth (1993)","Action|Drama|War"
"8564","Hot Shots! Part Deux (1993)","Action|Comedy|War"
"8605","Live Nude Girls (1995)","Comedy"
"8608","Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)","Comedy|Romance"
"8633","House of the Spirits, The (1993)","Drama|Romance"
"8639","Hudsucker Proxy, The (1994)","Comedy"
"8669","I'll Do Anything (1994)","Comedy|Drama"
"8674","In the Army Now (1994)","Comedy|War"
"8683","In the Line of Fire (1993)","Action|Thriller"
"8730","In the Name of the Father (1993)","Drama"
"8757","Inkwell, The (1994)","Comedy|Drama"
"8758","What's Love Got to Do with It? (1993)","Drama|Musical"
"8774","Jimmy Hollywood (1994)","Comedy|Crime|Drama"
"8775","Judgment Night (1993)","Action|Crime|Thriller"
"8783","Jurassic Park (1993)","Action|Adventure|Sci-Fi|Thriller"
"8940","Kalifornia (1993)","Drama|Thriller"
"8955","Killing Zoe (1994)","Crime|Drama|Thriller"
"8960","King of the Hill (1993)","Drama"
"8961","Lassie (1994)","Adventure|Children"
"8964","Last Action Hero (1993)","Action|Adventure|Comedy|Fantasy"
"8998","Life with Mikey (1993)","Comedy"
"9001","Lightning Jack (1994)","Comedy|Western"
"9005","M. Butterfly (1993)","Drama|Romance"
"9006","Made in America (1993)","Comedy"
"9018","Malice (1993)","Thriller"
"9029","Man Without a Face, The (1993)","Drama"
"9043","Manhattan Murder Mystery (1993)","Comedy|Mystery"
"9048","Menace II Society (1993)","Action|Crime|Drama"
"9054","Executive Decision (1996)","Action|Adventure|Thriller"
"9087","In the Realm of the Senses (Ai no corrida) (1976)","Drama"
"9090","What Happened Was... (1994)","Comedy|Drama|Romance|Thriller"
"9091","Much Ado About Nothing (1993)","Comedy|Romance"
"9130","Mr. Jones (1993)","Drama|Romance"
"9132","Mr. Wonderful (1993)","Comedy|Romance"
"9134","Mrs. Doubtfire (1993)","Comedy|Drama"
"9223","Naked (1993)","Drama"
"9229","Next Karate Kid, The (1994)","Action|Children|Romance"
"9242","No Escape (1994)","Action|Drama|Sci-Fi"
"9245","North (1994)","Comedy"
"9249","Orlando (1992)","Drama|Fantasy|Romance"
"9250","Perfect World, A (1993)","Crime|Drama|Thriller"
"9259","Philadelphia (1993)","Drama"
"9312","Piano, The (1993)","Drama|Romance"
"9355","Poetic Justice (1993)","Drama"
"9358","Program, The (1993)","Action|Drama"
"9364","Puppet Masters, The (1994)","Horror|Sci-Fi"
"9368","Radioland Murders (1994)","Comedy|Mystery|Romance"
"9369","Ref, The (1994)","Comedy"
"9386","Remains of the Day, The (1993)","Drama|Romance"
"9411","Renaissance Man (1994)","Comedy|Drama"
"9421","Rising Sun (1993)","Action|Drama|Mystery"
"9431","Road to Wellville, The (1994)","Comedy"
"9433","RoboCop 3 (1993)","Action|Crime|Drama|Sci-Fi|Thriller"
"9446","Robin Hood: Men in Tights (1993)","Comedy"
"9486","Romeo Is Bleeding (1993)","Crime|Thriller"
"9492","Romper Stomper (1992)","Action|Drama"
"9496","Ruby in Paradise (1993)","Drama"
"9497","Rudy (1993)","Drama"
"9516","Saint of Fort Washington, The (1993)","Drama"
"9517","Savage Nights (Nuits fauves, Les) (1992)","Drama"
"9518","Schindler's List (1993)","Drama|War"
"9643","Scout, The (1994)","Comedy|Drama"
"9645","Searching for Bobby Fischer (1993)","Drama"
"9669","Secret Garden, The (1993)","Children|Drama"
"9691","Serial Mom (1994)","Comedy|Crime|Horror"
"9706","Shadow, The (1994)","Action|Adventure|Fantasy|Mystery"
"9714","Shadowlands (1993)","Drama|Romance"
"9730","Short Cuts (1993)","Drama"
"9746","Simple Twist of Fate, A (1994)","Drama"
"9747","Sirens (1994)","Drama"
"9755","Six Degrees of Separation (1993)","Drama"
"9765","Sleepless in Seattle (1993)","Comedy|Drama|Romance"
"9835","Sliver (1993)","Thriller"
"9845","Blade Runner (1982)","Action|Sci-Fi|Thriller"
"9920","Son in Law (1993)","Comedy|Drama|Romance"
"9929","So I Married an Axe Murderer (1993)","Comedy|Romance|Thriller"
"9961","Striking Distance (1993)","Action|Crime"
"9974","Super Mario Bros. (1993)","Action|Adventure|Children|Comedy|Fantasy|Sci-Fi"
"9988","Surviving the Game (1994)","Action|Adventure|Thriller"
"9991","Terminal Velocity (1994)","Action|Mystery|Thriller"
"10003","Thirty-Two Short Films About Glenn Gould (1993)","Drama|Musical"
"10009","Threesome (1994)","Comedy|Romance"
"10019","Nightmare Before Christmas, The (1993)","Animation|Children|Fantasy|Musical"
"10073","Three Musketeers, The (1993)","Action|Adventure|Comedy|Romance"
"10100","Tombstone (1993)","Action|Drama|Western"
"10142","Trial by Jury (1994)","Crime|Drama|Thriller"
"10146","True Romance (1993)","Crime|Thriller"
"10189","War Room, The (1993)","Documentary"
